symbol,quantity,date_of_purchase,purchase_price_aud,purchase_price_usd,purchase_fx_date_used,purchase_aud_usd_rate,date_of_sale,sale_price_aud,sale_price_usd_net_commission,sale_fx_date_used,sale_aud_usd_rate,capital_gain_loss_aud,capital_gain_loss_usd
DRIV,53.0,2023-10-20,1825.25,1152.83,2023-10-20,0.6316,2024-11-16,1877.88,1214.24,2024-11-15,0.6466,52.63,61.41
DRIV,0.7451,2023-10-20,25.6,16.17,2023-10-20,0.6316,2024-11-16,26.62,17.21,2024-11-15,0.6466,1.02,1.04
GOOG,3.0,2023-10-20,659.72,416.68,2023-10-20,0.6316,2025-04-09,733.09,438.02,2025-04-09,0.5975,73.37,21.34
GOOG,1.0,2023-10-20,219.92,138.9,2023-10-20,0.6316,2025-04-09,244.94,146.35,2025-04-09,0.5975,25.02,7.45
GOOG,0.4042,2023-10-20,88.89,56.14,2023-10-20,0.6316,2025-06-16,108.34,70.41,2025-06-16,0.6499,19.45,14.27
GOOG,4.0,2023-10-20,879.15,555.27,2023-10-20,0.6316,2025-06-16,1087.68,706.88,2025-06-16,0.6499,208.53,151.61
IDNA,58.0,2023-11-06,1758.89,1145.04,2023-11-06,0.651,2024-08-14,2112.44,1401.39,2024-08-14,0.6634,353.55,256.35
IDNA,2.0,2023-11-06,60.58,39.44,2023-11-06,0.651,2024-08-14,72.9,48.36,2024-08-14,0.6634,12.32,8.92
IDNA,0.785,2023-11-06,23.84,15.52,2023-11-06,0.651,2024-08-14,28.49,18.9,2024-08-14,0.6634,4.65,3.38
QQQM,6.0,2023-11-06,1398.02,910.11,2023-11-06,0.651,2025-04-09,1716.94,1025.87,2025-04-09,0.5975,318.92,115.76
QQQM,7.0,2023-11-06,1631.03,1061.8,2023-11-06,0.651,2025-05-27,2293.89,1486.67,2025-05-27,0.6481,662.86,424.87
QQQM,5.0,2023-11-06,1165.02,758.43,2023-11-06,0.651,2025-06-16,1678.87,1091.1,2025-06-16,0.6499,513.85,332.67
QQQM,0.4452,2023-11-06,103.92,67.65,2023-11-06,0.651,2025-06-16,148.25,96.35,2025-06-16,0.6499,44.33,28.7
QQQM,0.0244,2024-03-25,6.89,4.5,2024-03-25,0.6528,2025-06-16,8.12,5.28,2025-06-16,0.6499,1.23,0.78
QQQM,0.0217,2025-03-31,6.54,4.11,2025-03-31,0.628,2025-06-16,7.23,4.7,2025-06-16,0.6499,0.69,0.59
VOO,0.7,2023-10-20,434.4,274.37,2023-10-20,0.6316,2024-07-22,532.15,354.57,2024-07-22,0.6663,97.75,80.2
VOO,1.0,2023-10-19,628.22,395.97,2023-10-19,0.6303,2024-07-22,762.72,508.2,2024-07-22,0.6663,134.5,112.23
VOO,0.4724,2023-10-19,298.27,188.0,2023-10-19,0.6303,2024-07-22,360.3,240.07,2024-07-22,0.6663,62.03,52.07
VOO,0.5276,2023-10-20,327.69,206.97,2023-10-20,0.6316,2024-07-22,402.4,268.12,2024-07-22,0.6663,74.71,61.15
VOO,0.2649,2023-10-20,164.09,103.64,2023-10-20,0.6316,2025-04-23,200.25,128.12,2025-04-23,0.6398,36.16,24.48
VOO,2.7351,2023-10-24,1666.03,1059.43,2023-10-24,0.6359,2025-04-23,2067.58,1322.84,2025-04-23,0.6398,401.55,263.41
VT,2.0,2023-10-23,286.66,180.91,2023-10-23,0.6311,2025-01-03,377.98,234.95,2025-01-03,0.6216,91.32,54.04
VT,2.0,2023-10-23,286.66,180.91,2023-10-23,0.6311,2025-01-03,379.58,235.95,2025-01-03,0.6216,92.92,55.04
VT,1.0,2023-10-23,143.34,90.46,2023-10-23,0.6311,2025-01-03,189.8,117.98,2025-01-03,0.6216,46.46,27.52
VT,1.0,2023-10-23,143.34,90.46,2023-10-23,0.6311,2025-01-03,189.8,117.98,2025-01-03,0.6216,46.46,27.52
VT,2.0,2023-10-25,284.07,181.41,2023-10-25,0.6386,2025-01-03,379.6,235.96,2025-01-03,0.6216,95.53,54.55
VT,7.0,2023-10-23,1003.33,633.2,2023-10-23,0.6311,2025-01-03,1326.85,824.77,2025-01-03,0.6216,323.52,191.57
VT,10.0,2023-10-25,1420.34,907.03,2023-10-25,0.6386,2025-02-11,1943.04,1219.26,2025-02-11,0.6275,522.7,312.23
